YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2023,Yemen,Explosions/Remote violence,Remote explosive/landmine/IED,"17,0883","44,0424",10,5
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"12,4081","48,278",1,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"12,613","43,3362",8,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"12,8058","44,788",2,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"13,2949","43,7855",132,29
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"13,3204","44,7623",11,6
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"13,6274","46,228",18,12
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"13,8943","44,7825",24,10
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"14,326","45,216",6,2
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"14,651","46,62",15,3
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"14,7791","43,2181",70,19
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"15,3329","45,4523",40,5
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"15,5791","40,9906",2,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"16,0944","43,2039",2,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"16,5962","45,5989",5,0
2023,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"17,0883","44,0424",266,263
2023,Yemen,Protests,Excessive force against protesters,"12,8058","44,788",2,0
2023,Yemen,Protests,Excessive force against protesters,"13,2949","43,7855",1,0
2023,Yemen,Protests,Excessive force against protesters,"13,3204","44,7623",3,0
2023,Yemen,Protests,Excessive force against protesters,"14,0881","44,175",1,0
2023,Yemen,Protests,Excessive force against protesters,"15,4201","44,1919",2,0
2023,Yemen,Protests,Excessive force against protesters,"17,0575","51,8238",1,0
2023,Yemen,Protests,Peaceful protest,"12,5081","53,893",3,0
2023,Yemen,Protests,Peaceful protest,"12,8058","44,788",151,0
2023,Yemen,Protests,Peaceful protest,"13,2949","43,7855",135,0
2023,Yemen,Protests,Peaceful protest,"13,3204","44,7623",56,0
2023,Yemen,Protests,Peaceful protest,"13,6274","46,228",80,0
2023,Yemen,Protests,Peaceful protest,"13,8943","44,7825",81,0
2023,Yemen,Protests,Peaceful protest,"14,0881","44,175",161,0
